0.0172	Max(Ch1)	A
  0.25	Period(Ch1)	s
     4	Freq(Ch1)	Hz
0.001778	Rise Time(Ch1)	s
0.001309	Fall Time(Ch1)	s
0.7467	Pos.Duty Cyc(Ch1)	%
0.01315	Mean(Ch1)	A
 11.11	Pos.vershoot(Ch1)	%
